V,mA/cm^2
0.01,3.77E-04
0.02,9.50E-04
0.03,0.00142
0.04,0.00204
0.05,0.00271
0.06,0.00352
0.07,0.00457
0.08,0.00569
0.09,0.00698
0.1,0.00853
0.11,0.01054
0.12,0.01259
0.13,0.01544
0.14,0.0187
0.15,0.02289
0.16,0.0276
0.17,0.03328
0.18,0.04009
0.19,0.04829
0.2,0.05822
0.21,0.06975
0.22,0.08386
0.23,0.10044
0.24,0.12027
0.25,0.14381
0.26,0.17202
0.27,0.20502
0.28,0.24415
0.29,0.28993
0.3,0.34412
0.31,0.40665
0.32,0.47951
0.33,0.56434
0.34,0.66169
0.35,0.7736
0.36,0.90027
0.37,1.04321
0.38,1.20475
0.39,1.38335
0.4,1.58053
0.41,1.79851
0.42,2.03382
0.43,2.2877
0.44,2.56273
0.45,2.85332
0.46,3.16156
0.47,3.48916
0.48,3.83162
0.49,4.19391
0.5,4.57108
0.51,4.96526
0.52,5.38183
0.53,5.81539
0.54,6.26902
0.55,6.74837
0.56,7.24759
0.57,7.77165
0.58,8.32668
0.59,8.90687
0.6,9.5164
0.61,10.16259
0.62,10.83741
0.63,11.5518
0.64,12.29909
0.65,13.0914
0.66,13.91977
0.67,14.79754
0.68,15.71356
0.69,16.68575
0.7,17.69951
0.71,18.77412
0.72,19.89432
0.73,21.08103
0.74,22.31709
0.75,23.62547
0.76,24.9885
0.77,26.42797
0.78,27.92612
0.79,29.51043
0.8,31.15826
0.81,32.89898
0.82,34.70484
0.83,36.61139
0.84,38.59352
0.85,40.68179
0.86,42.85062
0.87,45.13466
0.88,47.50823
0.89,50.00159
0.9,52.59172
0.91,55.3164
0.92,58.14309
0.93,61.10378
0.94,64.18299
0.95,67.39562
0.96,70.77786
0.97,74.27112
0.98,77.91615
0.99,81.75013
1,85.71041
1.01,89.86168
1.02,94.16014
1.03,98.63838
1.04,103.33256
1.05,108.18716
1.06,113.23581
1.07,118.53147
1.08,123.98959
1.09,129.67283
1.1,135.63261
1.11,141.77828
1.12,148.21323
1.13,154.85547
1.14,161.75948
1.15,168.99352
1.16,176.43586
1.17,184.18378
1.18,192.27089
1.19,200.61977
1.2,209.34146
1.21,218.33461
1.22,227.6537
1.23,237.41181
1.24,247.43322
1.25,257.90689
1.26,268.69072
1.27,279.95838
1.28,291.53824
1.29,303.63962
1.3,316.0863
1.31,329.07538
1.32,342.43523
1.33,356.36753
1.34,370.68485
1.35,385.63064
1.36,401.00527
1.37,417.01091
1.38,433.49019
1.39,450.61883
1.4,468.24861
1.41,486.59345
1.42,505.45369
1.43,525.11047
1.44,545.29896
1.45,566.29773
1.46,587.76812
1.47,610.24843
1.48,633.25842
1.49,657.22588
1.5,681.83506
