V,mA/cm^2
0.05,0.005116831
0.06,0.006907325
0.07,0.008721691
0.08,0.010950656
0.09,0.013673797
0.1,0.016973875
0.11,0.020642396
0.12,0.02511465
0.13,0.030820355
0.14,0.036860285
0.15,0.044969229
0.16,0.053842117
0.17,0.065038667
0.18,0.077452753
0.19,0.092278036
0.2,0.109498601
0.21,0.129003039
0.22,0.151674661
0.23,0.1773941
0.24,0.205962412
0.25,0.237634246
0.26,0.273125798
0.27,0.311553759
0.28,0.352894255
0.29,0.397648625
0.3,0.445227996
0.31,0.496022296
0.32,0.548869694
0.33,0.60451822
0.34,0.663477169
0.35,0.724719991
0.36,0.788819644
0.37,0.855473735
0.38,0.926178318
0.39,0.999596493
0.4,1.07739143
0.41,1.158321718
0.42,1.244480247
0.43,1.334315254
0.44,1.42956153
0.45,1.52977344
0.46,1.635794505
0.47,1.746789162
0.48,1.865081074
0.49,1.989070732
0.5,2.119896096
