V,mA/cm^2
0.01,3.56E-03
0.02,7.24E-03
0.03,0.01119
0.04,0.01548
0.05,0.02025
0.06,0.02569
0.07,0.03185
0.08,0.03895
0.09,0.0472
0.1,0.05669
0.11,0.06774
0.12,0.08039
0.13,0.09492
0.14,0.11164
0.15,0.1305
0.16,0.1517
0.17,0.17566
0.18,0.20197
0.19,0.2311
0.2,0.26253
0.21,0.29655
0.22,0.33329
0.23,0.37202
0.24,0.41302
0.25,0.45641
0.26,0.50156
0.27,0.54925
0.28,0.59879
0.29,0.65067
0.3,0.70527
0.31,0.76203
0.32,0.82216
0.33,0.8848
0.34,0.95113
0.35,1.02048
0.36,1.09409
0.37,1.17106
0.38,1.25291
0.39,1.33869
0.4,1.42979
0.41,1.5254
0.42,1.62714
0.43,1.73354
0.44,1.84672
0.45,1.96529
0.46,2.09133
0.47,2.22321
0.48,2.36332
0.49,2.5097
0.5,2.66507
0.51,2.82773
0.52,2.99993
0.53,3.18011
0.54,3.37072
0.55,3.56999
0.56,3.78044
0.57,3.99982
0.58,4.23236
0.59,4.47438
0.6,4.73009
0.61,4.99625
0.62,5.27844
0.63,5.57114
0.64,5.88038
0.65,6.20185
0.66,6.53849
0.67,6.89337
0.68,7.26225
0.69,7.65074
0.7,8.05446
0.71,8.4756
0.72,8.92011
0.73,9.38062
0.74,9.86537
0.75,10.36712
0.76,10.89104
0.77,11.44245
0.78,12.01403
0.79,12.6147
0.8,13.2365
0.81,13.88503
0.82,14.56698
0.83,15.27057
0.84,16.01038
0.85,16.77666
0.86,17.57244
0.87,18.40804
0.88,19.27282
0.89,20.17168
0.9,21.11408
0.91,22.08852
0.92,23.10792
0.93,24.16104
0.94,25.26443
0.95,26.40302
0.96,27.59446
0.97,28.82456
0.98,30.11166
0.99,31.43807
1,32.82855
1.01,34.26053
1.02,35.75608
1.03,37.31101
1.04,38.91463
1.05,40.58752
1.06,42.31332
1.07,44.11454
1.08,45.96716
1.09,47.90727
1.1,49.90248
1.11,51.966
1.12,54.11166
1.13,56.34136
1.14,58.66171
1.15,61.04827
1.16,63.53363
1.17,66.0847
1.18,68.75697
1.19,71.49444
1.2,74.35719
1.21,77.29022
1.22,80.34753
1.23,83.49039
1.24,86.76924
1.25,90.13568
1.26,93.62079
1.27,97.24953
1.28,100.96739
1.29,104.84364
1.3,108.81818
1.31,112.93075
1.32,117.2073
1.33,121.58521
1.34,126.15156
1.35,130.82842
1.36,135.66724
1.37,140.68482
1.38,145.8175
1.39,151.18599
1.4,156.65736
1.41,162.32225
1.42,168.18017
1.43,174.18477
1.44,180.43383
1.45,186.826
1.46,193.40712
1.47,200.26326
1.48,207.30377
1.49,214.7344
1.5,223.16171
