V,mA/cm^2
0.05,0.02126
0.06,0.02663
0.07,0.03356
0.08,0.0411
0.09,0.0496
0.1,0.06013
0.11,0.07272
0.12,0.08762
0.13,0.10448
0.14,0.12526
0.15,0.14948
0.16,0.17798
0.17,0.21179
0.18,0.25182
0.19,0.29888
0.2,0.35376
0.21,0.41847
0.22,0.49323
0.23,0.5798
0.24,0.68063
0.25,0.79507
0.26,0.92669
0.27,1.07441
0.28,1.24049
0.29,1.42837
0.3,1.63403
0.31,1.86319
0.32,2.11137
0.33,2.38092
0.34,2.67475
0.35,2.98748
0.36,3.32497
0.37,3.68175
0.38,4.06316
0.39,4.46388
0.4,4.89146
0.41,5.34114
0.42,5.81651
0.43,6.3143
0.44,6.84305
0.45,7.39472
0.46,7.98199
0.47,8.59411
0.48,9.24637
0.49,9.92679
0.5,10.64469
0.51,11.40746
0.52,12.20446
0.53,13.05065
0.54,13.93525
0.55,14.87353
0.56,15.85377
0.57,16.89416
0.58,17.98023
0.59,19.13048
0.6,20.33221
0.61,21.60621
0.62,22.93369
0.63,24.32692
0.64,25.79756
0.65,27.33223
0.66,28.9523
0.67,30.63414
0.68,32.40171
0.69,34.26008
0.7,36.1926
0.71,38.23141
0.72,40.34682
0.73,42.55778
0.74,44.88332
0.75,47.29367
0.76,49.81453
0.77,52.45518
0.78,55.18852
0.79,58.05942
0.8,61.06049
0.81,64.1616
0.82,67.39919
0.83,70.74832
0.84,74.23852
0.85,77.88661
0.86,81.65336
0.87,85.58665
0.88,89.65083
0.89,93.86373
