V,mA/cm^2
0.01,1.23E-02
0.02,2.43E-02
0.03,0.03637
0.04,0.04837
0.05,0.06127
0.06,0.07472
0.07,0.09022
0.08,0.10694
0.09,0.12601
0.1,0.14762
0.11,0.17258
0.12,0.20177
0.13,0.23573
0.14,0.27507
0.15,0.32133
0.16,0.37526
0.17,0.43854
0.18,0.51287
0.19,0.59994
0.2,0.70194
0.21,0.82255
0.22,0.96327
0.23,1.12809
0.24,1.32256
0.25,1.54831
0.26,1.81246
0.27,2.12008
0.28,2.47626
0.29,2.89313
0.3,3.37203
0.31,3.92769
0.32,4.56114
0.33,5.28671
0.34,6.11917
0.35,7.05755
0.36,8.12655
0.37,9.32163
0.38,10.66378
0.39,12.14432
0.4,13.79571
0.41,15.59408
0.42,17.57596
0.43,19.71381
0.44,22.03747
0.45,24.51822
0.46,27.19664
0.47,30.0237
0.48,33.05441
0.49,36.24117
0.5,39.61112
0.51,43.18311
0.52,46.92429
0.53,50.89146
0.54,55.04016
0.55,59.42026
0.56,63.99771
0.57,68.84518
0.58,73.89508
0.59,79.25136
0.6,84.83762
0.61,90.75317
0.62,96.99618
0.63,103.4714
0.64,110.31825
0.65,117.47067
0.66,125.04406
0.67,132.9286
0.68,141.21102
0.69,149.96613
0.7,159.09128
0.71,168.72413
0.72,178.7684
0.73,189.26388
0.74,200.353
0.75,211.85512
0.76,223.92384
0.77,236.58144
0.78,249.74673
0.79,263.633
0.8,278.0222
0.81,293.05438
0.82,308.86881
0.83,325.19652
0.84,342.24997
0.85,360.15331
0.86,378.71396
0.87,398.13723
0.88,418.22099
0.89,439.09973
0.9,461.03129
0.91,483.63925
0.92,507.38675
0.93,531.73587
0.94,557.10835
0.95,583.61481
0.96,610.90033
0.97,639.46387
0.98,668.75395
0.99,699.37297
1,730.97637
1.01,763.93816
1.02,797.76415
1.03,833.12201
1.04,869.45231
1.05,907.25559
1.06,946.34325
1.07,986.66515
1.08,1028.13297
1.09,1071.06502
1.1,1115.73186
1.11,1161.46503
1.12,1209.22743
1.13,1258.1437
1.14,1309.02553
1.15,1361.1249
1.16,1415.27737
1.17,1470.79858
1.18,1528.46837
1.19,1587.38753
1.2,1648.63831
1.21,1711.31353
1.22,1776.54318
1.23,1843.20523
1.24,1911.78509
1.25,1983.05468
1.26,2055.82032
1.27,2130.79821
1.28,2208.62498
1.29,2287.99555
1.3,2370.35027
1.31,2454.78197
1.32,2541.2031
1.33,2631.04607
1.34,2722.68748
1.35,2816.84355
1.36,2914.46123
1.37,3013.98082
1.38,3117.54294
1.39,3222.5295
1.4,3330.59571
1.41,3442.43388
1.42,3556.68326
1.43,3673.59052
1.44,3794.61194
1.45,3918.0923
1.46,4045.72661
1.47,4175.91535
1.48,4309.27924
1.49,4447.87932
1.5,4588.97814
