V,mA/cm^2
0.01,1.50E-06
0.03,4.89E-06
0.05,9.02E-06
0.07,1.42E-05
0.09,2.09E-05
0.11,2.95E-05
0.13,4.09E-05
0.15,5.59E-05
0.17,7.56E-05
0.19,1.02E-04
0.21,1.37E-04
0.23,1.83E-04
0.25,2.46E-04
0.27,3.40E-04
0.29,4.43E-04
0.31,6.24E-04
0.33,8.01E-04
0.35,1.09E-03
0.37,1.47E-03
0.39,2.01E-03
0.41,2.75E-03
0.43,3.79E-03
0.45,5.23E-03
0.47,7.23E-03
0.49,1.00E-02
0.51,1.40E-02
0.53,1.95E-02
0.55,2.72E-02
0.57,3.80E-02
0.59,5.31E-02
0.61,7.42E-02
0.63,1.03E-01
0.65,1.44E-01
0.67,1.99E-01
0.69,2.76E-01
0.71,3.80E-01
0.73,5.22E-01
0.75,7.14E-01
0.77,9.74E-01
0.79,1.32E+00
0.81,1.80E+00
0.83,2.44E+00
0.85,3.32E+00
0.87,4.53E+00
0.89,6.21E+00
0.91,8.52E+00
0.93,1.17E+01
0.95,1.58E+01
0.97,2.12E+01
0.99,2.77E+01
1.01,3.54E+01
1.03,4.42E+01
1.05,5.40E+01
1.07,6.47E+01
1.09,7.63E+01
1.11,8.86E+01
1.13,1.02E+02
1.15,1.15E+02
1.17,1.29E+02
1.19,1.44E+02
1.21,1.50E+02
