V,mA/cm^2
4.00E-02,0.00282
5.00E-02,0.00416
6.00E-02,0.00592
7.00E-02,0.00838
8.00E-02,0.0116
9.00E-02,0.01598
1.00E-01,0.02185
1.10E-01,0.02987
1.20E-01,0.04066
1.30E-01,0.05551
1.40E-01,0.07548
1.50E-01,0.10302
1.60E-01,0.14028
1.70E-01,0.19164
1.80E-01,0.26144
1.90E-01,0.35787
2.00E-01,0.48913
2.10E-01,0.6707
2.20E-01,0.90894
2.30E-01,1.24953
2.40E-01,1.71402
2.50E-01,2.35861
2.60E-01,3.23929
2.70E-01,4.462
2.80E-01,6.13087
2.90E-01,8.44494
3.00E-01,11.58545
3.10E-01,15.91398
3.20E-01,21.85611
3.30E-01,29.87895
3.40E-01,40.81632
3.50E-01,55.38711
3.60E-01,74.73208
3.70E-01,100.34401
3.80E-01,133.17688
3.90E-01,174.88661
4.00E-01,227.1905
4.10E-01,290.45618
4.20E-01,366.58317
4.30E-01,454.62212
4.40E-01,555.3282
4.50E-01,668.90833
4.60E-01,793.60464
4.70E-01,928.70092
4.80E-01,1075.76805
4.90E-01,1230.53827
5.00E-01,1394.57132
5.10E-01,1567.6364
5.20E-01,1745.87402
5.30E-01,1932.83333
5.40E-01,2124.2649
5.50E-01,2320.43928
5.60E-01,2524.27697
5.70E-01,2731.45692
5.80E-01,2943.76166
5.90E-01,3160.26809
6.00E-01,3383.91261
6.10E-01,3607.39798
6.20E-01,3828.6711
6.30E-01,4063.61563
6.40E-01,4299.96072
6.50E-01,4541.02475
6.60E-01,4768.0354
6.70E-01,4994.39352
6.80E-01,5245.49228
6.90E-01,5478.77363
7.00E-01,5741.37929
7.10E-01,5985.52297
7.20E-01,6227.63743
7.30E-01,6491.89034
7.40E-01,6753.51719
7.50E-01,6992.36102
7.60E-01,7278.68076
7.70E-01,7555.95254
7.80E-01,7783.87834
7.90E-01,7910.79645
8.00E-01,7982.82202
8.10E-01,8031.65075
8.20E-01,8074.14512
8.30E-01,8110.78259
8.40E-01,8138.76203
8.50E-01,8166.31971
8.60E-01,8190.11337
8.70E-01,8214.05027
8.80E-01,8234.27887
8.90E-01,8253.12281
9.00E-01,8271.75986
9.10E-01,8288.73373
9.20E-01,8307.29916
9.30E-01,8324.0343
9.40E-01,8339.99754
9.50E-01,8352.7936
9.60E-01,8367.49156
9.70E-01,8381.22663
9.80E-01,8392.78128
9.90E-01,8402.13163
1.00E+00,8409.18219
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
