x,y
-0.1,-4.8274
-0.09,-4.28912
-0.08,-3.76056
-0.07,-3.250764
-0.06,-2.751744
-0.05,-2.270624
-0.04,-1.7971
-0.03,-1.338108
-0.02,-0.884028
-0.01,-0.439708
0.01,0.444556
0.02,0.886716
0.03,1.338248
0.04,1.796284
0.05,2.2681
0.06,2.762456
0.07,3.276688
0.08,3.822624
0.09,4.399584
0.1,5.01628
0.11,5.68472
0.12,6.40236
0.13,7.179
0.14,8.02744
0.15,8.94684
0.16,9.94504
0.17,11.04388
0.18,12.2318
0.19,13.54256
0.2,14.96036
0.21,16.51352
0.22,18.21868
0.23,20.07696
0.24,22.11056
0.25,24.35796
0.26,26.80996
0.27,29.53188
0.28,32.51136
0.29,35.7972
0.3,39.45136
0.31,43.44484
0.32,47.8716
0.33,52.66
0.34,57.8868
0.35,63.5832
0.36,69.684
0.37,76.2636
0.38,83.2468
0.39,90.6876
0.4,98.4652
0.41,106.7144
0.42,115.2896
0.43,124.2884
0.44,133.6052
0.45,143.332
0.46,153.3552
0.47,163.7356
0.48,174.4112
0.49,185.3656
0.5,196.7328
0.51,208.2764
0.52,220.1884
0.53,232.2904
0.54,244.7572
0.55,257.3748
0.56,270.3444
0.57,283.4424
0.58,296.8344
0.59,310.4484
